current_weight,desired_weight,recommended_calories,diet_type,meals,what_to_eat
84.3,93.6,3056,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
46.7,37.1,882,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
74.3,83.7,2965,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
64.0,69.8,2542,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
105.3,94.6,2358,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
101.0,92.2,2340,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
58.0,54.1,1170,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
55.0,43.8,1168,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
81.1,84.2,3020,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
60.5,48.4,1370,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
88.5,94.7,3486,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
68.0,66.5,1412,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
64.6,72.1,2458,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
82.6,96.4,3028,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
79.3,82.3,3013,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
74.0,70.1,1724,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
64.4,79.3,2543,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
86.3,76.5,2050,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
55.3,67.6,2054,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
49.3,41.2,1000,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
98.3,91.8,2346,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
101.5,96.8,2398,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
69.2,64.9,1611,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
99.7,101.0,3726,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
49.7,57.2,2057,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
59.4,45.9,1371,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
57.0,44.4,1256,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
86.4,80.4,1919,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
74.6,65.0,1676,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
115.5,127.5,4199,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
74.9,63.2,1607,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
97.2,99.7,3637,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
85.4,94.8,3317,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
61.8,69.1,2352,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
109.0,104.7,2550,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
48.8,60.2,1899,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
57.4,61.7,2312,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
116.0,104.7,2694,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
73.1,80.7,2870,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
113.7,100.3,2718,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
76.9,74.2,1820,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
55.2,66.1,2107,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
119.2,104.6,2763,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
74.7,82.1,2912,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
85.3,89.9,3331,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
47.2,38.5,1048,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
100.2,85.3,2268,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
45.5,43.0,986,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
105.9,91.0,2530,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
54.1,43.3,1150,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
90.2,85.2,1976,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
113.1,119.6,4185,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
80.9,83.8,3228,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
45.8,54.9,1875,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
76.5,70.7,1793,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
84.6,77.4,1916,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
89.6,74.8,2018,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
46.6,51.6,1816,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
73.3,81.9,2679,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
100.0,85.8,2331,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
116.1,120.2,4281,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
94.1,87.3,2083,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
101.2,101.7,3788,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
94.7,104.6,3639,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
88.5,82.4,1982,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
89.7,94.3,3335,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
53.5,65.3,2218,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
52.0,40.0,1182,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
119.7,106.5,2722,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
67.9,54.0,1460,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
65.3,75.7,2541,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
50.2,55.4,2088,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
94.3,84.6,2135,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
73.0,62.9,1724,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
59.1,47.6,1223,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
89.5,93.3,3509,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
76.0,81.2,2919,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
119.3,132.2,4491,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
71.3,75.2,2720,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
65.4,62.4,1511,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
103.1,89.5,2461,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
92.3,101.1,3398,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
100.0,90.3,2389,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
54.6,52.1,1097,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
117.6,113.6,2795,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
60.1,46.1,1304,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
107.5,112.1,3909,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
82.1,80.6,1759,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
78.8,73.0,1830,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
106.5,96.4,2411,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
110.7,110.2,2610,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
67.6,79.0,2545,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
113.0,127.4,4308,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
52.3,54.7,2124,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
61.7,70.3,2363,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
96.1,86.6,2263,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
94.6,109.3,3569,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
72.4,69.5,1631,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
59.9,56.6,1215,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
100.7,114.9,3706,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
62.2,65.7,2448,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
50.8,51.8,2076,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
55.7,66.4,2294,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
118.4,106.6,2731,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
65.4,54.4,1348,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
105.5,111.6,4047,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
53.3,57.0,2254,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
119.3,121.5,4524,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
87.0,93.6,3152,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
93.5,106.3,3514,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
61.5,75.7,2465,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
63.1,56.7,1346,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
81.6,67.4,1810,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
98.4,110.9,3561,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
48.2,59.9,2058,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
78.5,90.5,2972,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
86.2,84.9,1990,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
104.0,111.8,4025,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
106.3,119.1,4006,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
118.5,113.0,2851,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
114.5,112.6,2607,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
46.6,61.4,1917,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
109.7,95.6,2501,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
84.2,82.6,1982,low carb,2 meals + 3 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
84.7,73.1,1895,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
104.8,114.1,3921,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
86.9,89.3,3326,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
53.5,47.7,1107,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
65.0,53.9,1502,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
102.2,101.4,2403,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
55.3,54.8,1245,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
83.1,77.5,1859,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
67.3,70.5,2587,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
100.4,109.5,3864,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
119.1,120.8,4335,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
101.7,89.0,2293,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
80.3,93.9,3172,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
70.7,75.8,2687,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
92.3,97.0,3497,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
100.2,113.0,3655,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
113.7,107.0,2729,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
48.7,46.9,1035,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
71.7,75.3,2663,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
47.3,60.1,1959,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
74.1,76.2,2956,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
48.8,60.7,1817,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
101.0,115.2,3822,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
99.2,106.2,3675,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
87.2,93.6,3204,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
115.9,126.0,4352,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
56.1,63.9,2362,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
108.4,114.5,4156,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
55.3,69.8,2180,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
58.5,68.6,2196,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
99.5,87.6,2369,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
103.0,112.2,3773,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
99.6,109.6,3814,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
57.6,59.9,2138,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
99.9,114.5,3860,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
106.4,104.1,2551,low carb,3 meals + 2 snacks,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
91.3,81.6,2095,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
57.6,68.1,2321,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
66.6,64.7,1487,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
57.9,67.4,2364,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
93.2,99.6,3628,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
92.4,79.9,2124,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
45.9,30.9,1002,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
115.6,107.5,2682,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
96.8,98.2,3497,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
109.6,121.8,4026,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
100.0,97.8,2391,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
118.6,131.1,4418,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
114.2,114.2,3426,balanced,3 meals,"Brown rice, mixed vegetables, lean meats, fruits, nuts"
83.2,92.1,3092,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
71.7,57.0,1629,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
100.7,90.7,2356,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
81.1,91.7,3173,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
78.0,78.7,2852,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
46.5,52.9,1904,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
53.7,48.6,1200,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
52.8,58.7,2118,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
80.8,91.1,2956,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
65.1,75.5,2381,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
62.8,50.6,1299,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
67.8,69.5,2736,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
79.4,74.0,1692,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
71.3,64.9,1492,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
49.8,55.3,1978,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
49.4,52.4,1898,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
106.3,103.9,2365,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
103.5,116.8,3946,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
93.3,87.5,2219,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
75.3,67.0,1679,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
67.0,72.4,2482,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
117.3,110.2,2751,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
82.2,76.5,1824,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
94.9,97.5,3618,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
116.1,111.0,2694,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
90.2,96.0,3477,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
65.7,63.6,1404,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
50.3,55.3,2056,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
112.9,113.8,4143,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
116.4,114.4,2613,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
101.0,96.8,2283,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
58.9,73.2,2283,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
110.9,103.2,2509,vegan,3 meals + 2 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
99.8,98.6,2266,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
113.2,119.2,4105,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
53.1,54.9,2215,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
57.8,70.7,2245,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
113.8,102.8,2637,vegan,3 meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
60.1,66.1,2365,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
52.9,47.6,1126,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
69.0,76.8,2542,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
50.0,58.4,2010,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
114.2,104.6,2589,keto,3 meals + 2 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
70.1,77.0,2837,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
110.3,99.0,2599,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
115.9,111.9,2701,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
87.5,89.3,3263,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
67.6,67.7,2728,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
58.0,59.6,2282,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
83.6,80.9,1967,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
52.7,45.1,1125,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
113.2,116.4,4326,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
77.0,66.0,1820,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
66.6,80.4,2579,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
97.3,84.1,2148,low carb,4 small meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
82.8,87.9,3233,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
46.0,61.0,1911,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
63.7,60.5,1452,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
59.4,46.1,1288,low carb,3 meals,"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
87.5,76.0,2024,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
55.0,61.4,2318,high protein,Intermittent fasting (2 meals),"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
113.8,102.9,2626,keto,Intermittent fasting (2 meals),"Avocado, cheese, eggs, fatty fish, nuts"
68.5,82.4,2509,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
84.8,84.8,2544,balanced,Intermittent fasting (2 meals),"Brown rice, mixed vegetables, lean meats, fruits, nuts"
70.9,66.1,1535,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
119.0,125.3,4385,high protein,4 small meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
116.2,108.0,2736,vegan,Intermittent fasting (2 meals),"Quinoa, chickpeas, spinach, almonds, soy milk"
89.2,98.2,3396,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
99.7,104.5,3882,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
73.0,71.5,1541,keto,3 meals,"Avocado, cheese, eggs, fatty fish, nuts"
51.7,47.9,1050,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
54.2,43.3,1203,vegan,2 meals + 3 snacks,"Quinoa, chickpeas, spinach, almonds, soy milk"
106.8,121.2,3862,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
53.9,45.3,1166,keto,2 meals + 3 snacks,"Avocado, cheese, eggs, fatty fish, nuts"
74.5,80.3,2866,high protein,3 meals,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
97.1,92.6,2321,keto,4 small meals,"Avocado, cheese, eggs, fatty fish, nuts"
99.7,100.0,3662,high protein,3 meals + 2 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
99.7,90.8,2201,vegan,4 small meals,"Quinoa, chickpeas, spinach, almonds, soy milk"
103.4,112.8,3828,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
85.2,77.9,1975,low carb,Intermittent fasting (2 meals),"Grilled fish, leafy greens, cauliflower rice, avocado, nuts"
68.5,80.5,2515,high protein,2 meals + 3 snacks,"Grilled chicken, boiled eggs, Greek yogurt, lentils, tofu"
