CurrentWeight,DreamWeight,Goal,monday,tuesday,wednesday,thursday,friday,saturday,sunday
60,68,Gain,Glutes + Core,Shoulders + Abs,Full Body Strength,Back + Biceps,Full Body Strength,Full Body Strength,Legs
54,57,Gain,Glutes + Core,Back + Biceps,Back + Biceps,Shoulders + Abs,Shoulders + Abs,Back + Biceps,Shoulders + Abs
64,59,Lose,Cardio + Abs,HIIT + Full Body,Cardio Endurance,HIIT + Full Body,Full Body HIIT,Cardio + Core,Full Body HIIT
119,126,Gain,Legs,Shoulders + Abs,Full Body Strength,Glutes + Core,Chest + Biceps,Back + Biceps,Chest + Triceps
95,98,Gain,Full Body Strength,Shoulders + Abs,Back + Biceps,Full Body Strength,Legs,Chest + Biceps,Full Body Strength
72,63,Lose,Cardio Endurance,Cardio Endurance,Cardio Endurance,Full Body HIIT,Cardio + Abs,Cardio + Core,Core Focus
116,129,Gain,Chest + Biceps,Legs,Chest + Triceps,Full Body Strength,Legs,Chest + Biceps,Chest + Biceps
70,59,Lose,Cardio + Core,Core Focus,Cardio Endurance,Cardio Endurance,Full Body HIIT,HIIT + Full Body,Cardio + Legs
100,91,Lose,Cardio Endurance,HIIT + Full Body,Cardio Endurance,Cardio + Abs,Full Body HIIT,Cardio + Legs,Cardio + Abs
51,37,Lose,Core Focus,Core Focus,Core Focus,Core Focus,Core Focus,Cardio + Core,Cardio + Core
85,70,Lose,Cardio Endurance,Cardio + Legs,Cardio + Abs,Full Body HIIT,Cardio + Core,Core Focus,Core Focus
66,54,Lose,Cardio Endurance,Full Body HIIT,Full Body HIIT,Cardio + Core,Cardio Endurance,Cardio + Core,HIIT + Full Body
119,121,Gain,Glutes + Core,Legs,Chest + Biceps,Legs,Shoulders + Abs,Back + Biceps,Back + Biceps
59,47,Lose,Cardio + Abs,Full Body HIIT,Core Focus,Core Focus,Cardio + Legs,Cardio Endurance,Cardio + Legs
71,59,Lose,Core Focus,Cardio + Abs,Cardio + Legs,Full Body HIIT,Full Body HIIT,HIIT + Full Body,Core Focus
65,52,Lose,HIIT + Full Body,Full Body HIIT,HIIT + Full Body,Cardio Endurance,Cardio + Abs,Cardio Endurance,Core Focus
62,72,Gain,Back + Biceps,Full Body Strength,Glutes + Core,Shoulders + Abs,Full Body Strength,Legs,Legs
87,84,Lose,Core Focus,Cardio + Abs,HIIT + Full Body,Cardio Endurance,HIIT + Full Body,Cardio + Legs,Cardio + Legs
68,74,Gain,Chest + Triceps,Back + Biceps,Shoulders + Abs,Chest + Biceps,Shoulders + Abs,Legs,Shoulders + Abs
53,44,Lose,Cardio + Legs,Cardio + Abs,Cardio + Abs,Full Body HIIT,Full Body HIIT,Cardio Endurance,Core Focus
117,103,Lose,Full Body HIIT,Cardio + Abs,Cardio + Core,Core Focus,Cardio + Abs,HIIT + Full Body,Full Body HIIT
89,90,Gain,Full Body Strength,Shoulders + Abs,Glutes + Core,Chest + Triceps,Shoulders + Abs,Legs,Back + Biceps
85,96,Gain,Full Body Strength,Chest + Triceps,Chest + Biceps,Chest + Triceps,Shoulders + Abs,Legs,Chest + Biceps
91,99,Gain,Back + Biceps,Chest + Triceps,Full Body Strength,Full Body Strength,Legs,Chest + Triceps,Back + Biceps
73,71,Lose,Cardio + Abs,Cardio + Legs,Full Body HIIT,Full Body HIIT,Cardio + Abs,Cardio Endurance,Cardio Endurance
48,46,Lose,Cardio + Abs,Full Body HIIT,Cardio + Abs,Cardio + Core,Cardio Endurance,Full Body HIIT,Cardio + Legs
101,101,Maintain,Strength + Flexibility,Strength Light,Jogging + Core,Strength Light,HIIT + Core,HIIT + Core,Cardio + Flex
105,93,Lose,Core Focus,Cardio + Legs,Cardio + Legs,HIIT + Full Body,Full Body HIIT,Cardio Endurance,Full Body HIIT
72,76,Gain,Glutes + Core,Shoulders + Abs,Shoulders + Abs,Chest + Biceps,Back + Biceps,Chest + Biceps,Legs
51,41,Lose,Cardio + Core,Cardio + Abs,HIIT + Full Body,Full Body HIIT,HIIT + Full Body,Cardio + Abs,Cardio Endurance
119,134,Gain,Back + Biceps,Full Body Strength,Back + Biceps,Legs,Back + Biceps,Glutes + Core,Chest + Triceps
110,103,Lose,HIIT + Full Body,Cardio Endurance,Cardio + Abs,Cardio + Abs,Full Body HIIT,Cardio Endurance,Core Focus
92,98,Gain,Chest + Biceps,Legs,Legs,Full Body Strength,Back + Biceps,Chest + Triceps,Full Body Strength
54,62,Gain,Back + Biceps,Legs,Legs,Full Body Strength,Glutes + Core,Back + Biceps,Glutes + Core
118,127,Gain,Shoulders + Abs,Back + Biceps,Back + Biceps,Chest + Biceps,Legs,Chest + Triceps,Chest + Triceps
90,76,Lose,Cardio Endurance,Cardio Endurance,Cardio Endurance,Cardio Endurance,Cardio + Legs,Cardio Endurance,Full Body HIIT
61,73,Gain,Chest + Triceps,Shoulders + Abs,Chest + Biceps,Back + Biceps,Legs,Full Body Strength,Back + Biceps
75,90,Gain,Chest + Biceps,Legs,Glutes + Core,Chest + Triceps,Chest + Biceps,Chest + Biceps,Back + Biceps
110,125,Gain,Chest + Biceps,Full Body Strength,Shoulders + Abs,Full Body Strength,Shoulders + Abs,Chest + Triceps,Back + Biceps
113,114,Gain,Full Body Strength,Glutes + Core,Legs,Chest + Biceps,Chest + Biceps,Chest + Biceps,Shoulders + Abs
97,86,Lose,Full Body HIIT,Cardio + Legs,Cardio Endurance,Cardio + Core,Cardio + Core,Cardio Endurance,Cardio Endurance
52,49,Lose,Cardio + Core,Core Focus,Cardio + Legs,Full Body HIIT,Cardio + Abs,Cardio + Abs,Core Focus
66,68,Gain,Back + Biceps,Full Body Strength,Back + Biceps,Chest + Triceps,Legs,Chest + Biceps,Back + Biceps
47,35,Lose,Cardio + Core,Cardio + Legs,Cardio + Legs,Cardio + Legs,Full Body HIIT,Core Focus,HIIT + Full Body
90,89,Lose,HIIT + Full Body,Cardio + Abs,Core Focus,Cardio Endurance,Full Body HIIT,Cardio + Core,Cardio + Legs
58,43,Lose,Cardio Endurance,HIIT + Full Body,Cardio + Abs,Cardio + Core,Cardio + Core,Cardio + Legs,Cardio + Core
86,79,Lose,Cardio + Abs,Cardio + Core,Cardio + Core,Cardio + Legs,Cardio + Legs,Core Focus,Cardio + Core
108,116,Gain,Back + Biceps,Legs,Glutes + Core,Back + Biceps,Back + Biceps,Glutes + Core,Back + Biceps
97,99,Gain,Glutes + Core,Shoulders + Abs,Glutes + Core,Shoulders + Abs,Chest + Triceps,Glutes + Core,Chest + Biceps
48,33,Lose,Cardio + Core,HIIT + Full Body,Cardio + Abs,Cardio + Abs,HIIT + Full Body,Cardio + Abs,Cardio + Core
56,67,Gain,Full Body Strength,Shoulders + Abs,Back + Biceps,Back + Biceps,Glutes + Core,Back + Biceps,Chest + Biceps
45,44,Lose,Full Body HIIT,Full Body HIIT,Full Body HIIT,Cardio + Core,HIIT + Full Body,Cardio Endurance,Cardio + Core
81,94,Gain,Chest + Biceps,Back + Biceps,Back + Biceps,Back + Biceps,Full Body Strength,Glutes + Core,Legs
48,45,Lose,Core Focus,Cardio + Abs,Cardio + Abs,Cardio + Core,Cardio + Abs,Cardio + Legs,Full Body HIIT
109,122,Gain,Chest + Triceps,Chest + Triceps,Chest + Biceps,Back + Biceps,Chest + Triceps,Glutes + Core,Chest + Triceps
51,38,Lose,HIIT + Full Body,Core Focus,HIIT + Full Body,Cardio + Core,Cardio + Legs,Core Focus,Cardio Endurance
96,87,Lose,Cardio + Core,Core Focus,Core Focus,Core Focus,Cardio + Abs,Cardio + Core,Cardio + Abs
111,119,Gain,Shoulders + Abs,Full Body Strength,Full Body Strength,Full Body Strength,Full Body Strength,Glutes + Core,Back + Biceps
60,73,Gain,Chest + Biceps,Chest + Triceps,Legs,Shoulders + Abs,Chest + Biceps,Legs,Chest + Triceps
98,99,Gain,Chest + Triceps,Back + Biceps,Glutes + Core,Chest + Biceps,Glutes + Core,Chest + Triceps,Chest + Biceps
97,104,Gain,Back + Biceps,Glutes + Core,Chest + Triceps,Chest + Triceps,Chest + Biceps,Back + Biceps,Full Body Strength
93,102,Gain,Legs,Chest + Biceps,Glutes + Core,Shoulders + Abs,Chest + Triceps,Back + Biceps,Full Body Strength
50,52,Gain,Glutes + Core,Chest + Biceps,Glutes + Core,Full Body Strength,Back + Biceps,Back + Biceps,Chest + Biceps
63,53,Lose,Cardio + Legs,Cardio + Legs,Cardio Endurance,Cardio + Core,Full Body HIIT,Cardio Endurance,Cardio + Abs
108,110,Gain,Back + Biceps,Shoulders + Abs,Chest + Biceps,Chest + Biceps,Back + Biceps,Legs,Chest + Triceps
49,55,Gain,Legs,Legs,Shoulders + Abs,Shoulders + Abs,Back + Biceps,Legs,Glutes + Core
55,43,Lose,Cardio + Legs,Cardio + Core,Cardio + Abs,HIIT + Full Body,Cardio + Legs,HIIT + Full Body,Cardio + Abs
81,73,Lose,Core Focus,Cardio Endurance,HIIT + Full Body,HIIT + Full Body,Cardio + Core,Cardio + Abs,HIIT + Full Body
84,85,Gain,Chest + Triceps,Glutes + Core,Legs,Chest + Biceps,Glutes + Core,Shoulders + Abs,Shoulders + Abs
74,65,Lose,Core Focus,Cardio + Abs,Cardio + Abs,Full Body HIIT,Cardio + Abs,Core Focus,Cardio + Core
99,112,Gain,Glutes + Core,Chest + Biceps,Legs,Shoulders + Abs,Shoulders + Abs,Full Body Strength,Glutes + Core
92,82,Lose,Cardio Endurance,Cardio + Legs,Cardio + Abs,Full Body HIIT,Cardio + Abs,Cardio Endurance,Cardio Endurance
45,58,Gain,Glutes + Core,Full Body Strength,Chest + Biceps,Chest + Biceps,Chest + Biceps,Legs,Shoulders + Abs
74,69,Lose,Cardio + Abs,Cardio + Abs,Cardio Endurance,Cardio + Abs,HIIT + Full Body,HIIT + Full Body,Cardio + Core
58,71,Gain,Glutes + Core,Back + Biceps,Shoulders + Abs,Legs,Back + Biceps,Chest + Triceps,Back + Biceps
85,95,Gain,Shoulders + Abs,Chest + Biceps,Glutes + Core,Full Body Strength,Shoulders + Abs,Shoulders + Abs,Glutes + Core
75,73,Lose,Cardio + Legs,Cardio Endurance,Cardio Endurance,Cardio + Core,Cardio + Abs,Cardio Endurance,Core Focus
84,96,Gain,Legs,Chest + Biceps,Shoulders + Abs,Legs,Legs,Glutes + Core,Chest + Triceps
99,86,Lose,Cardio + Abs,Cardio + Legs,Cardio + Legs,Cardio + Legs,Full Body HIIT,Core Focus,Cardio + Abs
56,42,Lose,Cardio + Legs,Full Body HIIT,Full Body HIIT,Cardio + Abs,Cardio Endurance,Full Body HIIT,Cardio + Core
119,121,Gain,Back + Biceps,Back + Biceps,Legs,Back + Biceps,Glutes + Core,Chest + Biceps,Glutes + Core
64,54,Lose,Cardio + Core,Cardio + Core,Cardio + Core,Core Focus,Cardio + Legs,Cardio Endurance,Cardio Endurance
79,72,Lose,Full Body HIIT,Cardio + Legs,HIIT + Full Body,Core Focus,Core Focus,Cardio + Legs,Cardio + Legs
113,126,Gain,Shoulders + Abs,Back + Biceps,Legs,Back + Biceps,Back + Biceps,Full Body Strength,Chest + Triceps
48,37,Lose,Cardio Endurance,Cardio + Abs,Cardio + Core,Core Focus,Cardio + Legs,Cardio + Legs,HIIT + Full Body
55,46,Lose,Core Focus,Cardio Endurance,Full Body HIIT,Cardio + Abs,Cardio + Abs,Core Focus,Core Focus
45,37,Lose,Full Body HIIT,Cardio + Core,HIIT + Full Body,HIIT + Full Body,Core Focus,Cardio + Legs,HIIT + Full Body
93,100,Gain,Chest + Triceps,Full Body Strength,Back + Biceps,Chest + Biceps,Chest + Triceps,Shoulders + Abs,Full Body Strength
119,131,Gain,Shoulders + Abs,Glutes + Core,Full Body Strength,Glutes + Core,Full Body Strength,Full Body Strength,Shoulders + Abs
74,67,Lose,Cardio + Legs,Cardio Endurance,Cardio + Legs,Cardio + Legs,Full Body HIIT,Core Focus,Cardio + Legs
77,85,Gain,Full Body Strength,Shoulders + Abs,Glutes + Core,Chest + Biceps,Full Body Strength,Glutes + Core,Legs
92,93,Gain,Full Body Strength,Full Body Strength,Legs,Legs,Chest + Biceps,Glutes + Core,Chest + Triceps
96,110,Gain,Chest + Triceps,Chest + Biceps,Full Body Strength,Glutes + Core,Chest + Triceps,Chest + Biceps,Shoulders + Abs
97,101,Gain,Back + Biceps,Chest + Biceps,Chest + Triceps,Shoulders + Abs,Shoulders + Abs,Chest + Triceps,Full Body Strength
103,115,Gain,Glutes + Core,Legs,Chest + Triceps,Shoulders + Abs,Full Body Strength,Chest + Triceps,Glutes + Core
91,98,Gain,Full Body Strength,Shoulders + Abs,Glutes + Core,Legs,Legs,Chest + Triceps,Back + Biceps
94,79,Lose,Cardio Endurance,Cardio Endurance,Cardio + Legs,Cardio + Abs,Cardio Endurance,Full Body HIIT,HIIT + Full Body
96,102,Gain,Chest + Triceps,Back + Biceps,Chest + Triceps,Chest + Triceps,Back + Biceps,Chest + Biceps,Back + Biceps
80,92,Gain,Full Body Strength,Shoulders + Abs,Chest + Triceps,Shoulders + Abs,Back + Biceps,Full Body Strength,Shoulders + Abs
98,97,Lose,Full Body HIIT,HIIT + Full Body,Cardio + Legs,Full Body HIIT,Cardio + Abs,Cardio + Abs,Cardio + Abs
103,113,Gain,Chest + Triceps,Shoulders + Abs,Legs,Full Body Strength,Glutes + Core,Shoulders + Abs,Glutes + Core
84,77,Lose,Full Body HIIT,Cardio + Abs,Core Focus,Cardio + Core,Core Focus,Full Body HIIT,Full Body HIIT
107,97,Lose,Cardio Endurance,Cardio Endurance,HIIT + Full Body,HIIT + Full Body,Cardio + Core,HIIT + Full Body,Cardio Endurance
120,128,Gain,Full Body Strength,Shoulders + Abs,Shoulders + Abs,Shoulders + Abs,Legs,Chest + Triceps,Full Body Strength
71,86,Gain,Chest + Triceps,Chest + Biceps,Back + Biceps,Legs,Shoulders + Abs,Shoulders + Abs,Chest + Biceps
53,67,Gain,Full Body Strength,Shoulders + Abs,Back + Biceps,Shoulders + Abs,Full Body Strength,Chest + Biceps,Shoulders + Abs
94,104,Gain,Back + Biceps,Full Body Strength,Full Body Strength,Chest + Biceps,Chest + Biceps,Glutes + Core,Legs
89,99,Gain,Chest + Triceps,Chest + Triceps,Glutes + Core,Chest + Triceps,Legs,Shoulders + Abs,Chest + Triceps
64,51,Lose,HIIT + Full Body,Cardio + Core,Cardio Endurance,Cardio + Core,Cardio + Abs,Cardio Endurance,Cardio + Legs
63,56,Lose,Cardio Endurance,Cardio + Legs,Cardio + Abs,HIIT + Full Body,Cardio + Core,Cardio + Core,Cardio + Core
80,91,Gain,Glutes + Core,Back + Biceps,Full Body Strength,Back + Biceps,Chest + Biceps,Full Body Strength,Shoulders + Abs
63,49,Lose,Cardio + Core,Full Body HIIT,Cardio + Abs,Full Body HIIT,Cardio + Core,Cardio + Core,Cardio + Legs
73,68,Lose,HIIT + Full Body,Cardio + Core,Cardio + Abs,Cardio + Core,Cardio + Core,Cardio + Abs,Cardio Endurance
68,79,Gain,Back + Biceps,Full Body Strength,Shoulders + Abs,Shoulders + Abs,Glutes + Core,Chest + Triceps,Shoulders + Abs
51,36,Lose,Cardio + Legs,Cardio + Core,Cardio + Core,Full Body HIIT,Cardio + Core,Cardio + Core,Cardio + Abs
65,76,Gain,Back + Biceps,Back + Biceps,Back + Biceps,Chest + Triceps,Full Body Strength,Chest + Biceps,Full Body Strength
110,109,Lose,Full Body HIIT,HIIT + Full Body,Cardio + Abs,Cardio Endurance,Full Body HIIT,HIIT + Full Body,Cardio + Abs
89,98,Gain,Glutes + Core,Legs,Full Body Strength,Full Body Strength,Chest + Biceps,Full Body Strength,Chest + Triceps
91,102,Gain,Legs,Glutes + Core,Legs,Full Body Strength,Shoulders + Abs,Glutes + Core,Chest + Biceps
48,57,Gain,Chest + Triceps,Legs,Chest + Biceps,Back + Biceps,Legs,Full Body Strength,Back + Biceps
83,81,Lose,Full Body HIIT,Cardio + Abs,Cardio + Legs,Cardio Endurance,Cardio + Core,Full Body HIIT,Cardio Endurance
84,82,Lose,Full Body HIIT,Cardio + Abs,Cardio + Abs,HIIT + Full Body,Cardio + Core,Cardio Endurance,Cardio Endurance
60,64,Gain,Full Body Strength,Chest + Triceps,Chest + Triceps,Glutes + Core,Chest + Triceps,Back + Biceps,Glutes + Core
56,49,Lose,HIIT + Full Body,Full Body HIIT,Core Focus,Core Focus,Cardio Endurance,Cardio Endurance,Full Body HIIT
63,68,Gain,Legs,Glutes + Core,Back + Biceps,Chest + Triceps,Back + Biceps,Glutes + Core,Back + Biceps
112,124,Gain,Shoulders + Abs,Full Body Strength,Back + Biceps,Glutes + Core,Legs,Back + Biceps,Glutes + Core
105,110,Gain,Full Body Strength,Full Body Strength,Full Body Strength,Legs,Full Body Strength,Chest + Triceps,Full Body Strength
48,47,Lose,Core Focus,Cardio Endurance,Cardio + Abs,HIIT + Full Body,Cardio Endurance,Cardio Endurance,Cardio Endurance
97,83,Lose,HIIT + Full Body,Full Body HIIT,Cardio + Core,Core Focus,Cardio + Core,Full Body HIIT,Cardio Endurance
74,86,Gain,Chest + Biceps,Back + Biceps,Legs,Glutes + Core,Glutes + Core,Legs,Chest + Triceps
48,55,Gain,Full Body Strength,Full Body Strength,Glutes + Core,Chest + Biceps,Glutes + Core,Back + Biceps,Chest + Biceps
79,72,Lose,HIIT + Full Body,Cardio + Abs,Full Body HIIT,Cardio + Core,Cardio + Core,Core Focus,Cardio Endurance
105,97,Lose,Cardio + Legs,Cardio Endurance,Full Body HIIT,Cardio Endurance,Cardio + Abs,Cardio + Abs,HIIT + Full Body
102,115,Gain,Shoulders + Abs,Back + Biceps,Glutes + Core,Full Body Strength,Chest + Biceps,Glutes + Core,Chest + Biceps
84,91,Gain,Shoulders + Abs,Chest + Biceps,Full Body Strength,Legs,Full Body Strength,Chest + Triceps,Chest + Triceps
117,127,Gain,Legs,Legs,Full Body Strength,Shoulders + Abs,Chest + Triceps,Full Body Strength,Back + Biceps
75,82,Gain,Full Body Strength,Back + Biceps,Back + Biceps,Shoulders + Abs,Chest + Biceps,Back + Biceps,Chest + Triceps
78,70,Lose,Full Body HIIT,HIIT + Full Body,Cardio + Legs,Cardio Endurance,Cardio Endurance,HIIT + Full Body,Cardio Endurance
97,104,Gain,Back + Biceps,Back + Biceps,Full Body Strength,Chest + Triceps,Full Body Strength,Back + Biceps,Shoulders + Abs
82,87,Gain,Chest + Triceps,Full Body Strength,Legs,Legs,Shoulders + Abs,Shoulders + Abs,Back + Biceps
54,51,Lose,Core Focus,Cardio Endurance,Cardio + Legs,HIIT + Full Body,Cardio + Abs,Core Focus,Core Focus
102,106,Gain,Shoulders + Abs,Legs,Full Body Strength,Shoulders + Abs,Chest + Triceps,Chest + Biceps,Glutes + Core
49,54,Gain,Back + Biceps,Chest + Biceps,Full Body Strength,Chest + Biceps,Chest + Biceps,Glutes + Core,Chest + Triceps
90,100,Gain,Glutes + Core,Glutes + Core,Shoulders + Abs,Chest + Triceps,Full Body Strength,Chest + Triceps,Full Body Strength
78,65,Lose,Cardio + Legs,Cardio + Core,Cardio Endurance,Cardio + Legs,Cardio Endurance,Core Focus,Cardio + Abs
109,119,Gain,Back + Biceps,Chest + Biceps,Back + Biceps,Full Body Strength,Chest + Biceps,Chest + Biceps,Chest + Biceps
52,43,Lose,HIIT + Full Body,HIIT + Full Body,Full Body HIIT,Cardio + Core,HIIT + Full Body,Cardio + Core,Cardio + Legs
90,100,Gain,Chest + Triceps,Legs,Full Body Strength,Legs,Back + Biceps,Glutes + Core,Full Body Strength
47,44,Lose,Core Focus,Full Body HIIT,Full Body HIIT,Cardio + Abs,Cardio + Abs,Cardio + Legs,HIIT + Full Body
96,97,Gain,Shoulders + Abs,Shoulders + Abs,Back + Biceps,Legs,Legs,Glutes + Core,Legs
109,101,Lose,Full Body HIIT,HIIT + Full Body,HIIT + Full Body,Cardio Endurance,Cardio + Legs,HIIT + Full Body,Cardio + Abs
76,69,Lose,Cardio + Abs,Cardio + Legs,Full Body HIIT,Core Focus,Cardio + Core,Full Body HIIT,HIIT + Full Body
69,71,Gain,Legs,Back + Biceps,Chest + Biceps,Glutes + Core,Legs,Legs,Back + Biceps
81,67,Lose,Core Focus,Cardio + Legs,Cardio Endurance,Cardio + Legs,Core Focus,Core Focus,HIIT + Full Body
49,50,Gain,Full Body Strength,Back + Biceps,Full Body Strength,Back + Biceps,Legs,Chest + Triceps,Legs
99,110,Gain,Full Body Strength,Full Body Strength,Chest + Triceps,Glutes + Core,Full Body Strength,Legs,Shoulders + Abs
87,80,Lose,Cardio + Core,Core Focus,HIIT + Full Body,Cardio + Legs,Full Body HIIT,Cardio Endurance,Core Focus
103,103,Maintain,Yoga + Core,Strength Light,Cardio + Flex,HIIT + Core,Strength Light,Strength + Flexibility,HIIT + Core
88,92,Gain,Legs,Full Body Strength,Legs,Shoulders + Abs,Glutes + Core,Shoulders + Abs,Shoulders + Abs
52,42,Lose,HIIT + Full Body,Cardio + Abs,Core Focus,Cardio Endurance,Cardio + Abs,Cardio + Abs,Cardio + Core
96,86,Lose,Cardio + Legs,Cardio + Abs,Cardio + Legs,Cardio + Abs,HIIT + Full Body,Full Body HIIT,Cardio + Abs
60,73,Gain,Full Body Strength,Chest + Biceps,Shoulders + Abs,Back + Biceps,Full Body Strength,Chest + Triceps,Full Body Strength
89,74,Lose,Cardio Endurance,Cardio + Legs,Core Focus,Cardio + Legs,HIIT + Full Body,HIIT + Full Body,Cardio + Core
94,97,Gain,Full Body Strength,Chest + Biceps,Back + Biceps,Back + Biceps,Shoulders + Abs,Legs,Legs
86,83,Lose,Cardio Endurance,Cardio + Legs,Cardio + Core,Cardio Endurance,Full Body HIIT,Full Body HIIT,Core Focus
119,116,Lose,Cardio + Legs,Core Focus,Cardio + Core,Full Body HIIT,HIIT + Full Body,Cardio + Core,Cardio + Legs
68,73,Gain,Full Body Strength,Glutes + Core,Full Body Strength,Chest + Biceps,Chest + Biceps,Glutes + Core,Chest + Triceps
82,77,Lose,Cardio + Legs,Cardio + Core,Cardio + Abs,Cardio + Legs,Cardio + Abs,Core Focus,Cardio + Core
107,117,Gain,Chest + Triceps,Legs,Shoulders + Abs,Full Body Strength,Chest + Biceps,Legs,Back + Biceps
86,93,Gain,Chest + Biceps,Glutes + Core,Glutes + Core,Shoulders + Abs,Shoulders + Abs,Chest + Triceps,Glutes + Core
83,92,Gain,Full Body Strength,Shoulders + Abs,Back + Biceps,Glutes + Core,Legs,Back + Biceps,Shoulders + Abs
97,96,Lose,Cardio + Legs,Cardio + Core,Cardio + Core,Cardio + Legs,Cardio + Core,Full Body HIIT,Cardio Endurance
91,103,Gain,Chest + Biceps,Full Body Strength,Glutes + Core,Legs,Back + Biceps,Full Body Strength,Chest + Triceps
98,105,Gain,Chest + Biceps,Chest + Biceps,Full Body Strength,Chest + Triceps,Chest + Biceps,Shoulders + Abs,Shoulders + Abs
45,52,Gain,Back + Biceps,Legs,Full Body Strength,Legs,Glutes + Core,Shoulders + Abs,Glutes + Core
90,100,Gain,Glutes + Core,Chest + Biceps,Legs,Legs,Shoulders + Abs,Legs,Full Body Strength
61,69,Gain,Chest + Biceps,Shoulders + Abs,Chest + Biceps,Back + Biceps,Glutes + Core,Glutes + Core,Legs
94,88,Lose,Cardio Endurance,Cardio + Abs,Cardio Endurance,Cardio + Core,Full Body HIIT,HIIT + Full Body,Cardio + Legs
65,59,Lose,Cardio Endurance,HIIT + Full Body,Cardio + Abs,HIIT + Full Body,Cardio + Abs,Core Focus,Cardio + Abs
92,98,Gain,Legs,Chest + Triceps,Back + Biceps,Full Body Strength,Shoulders + Abs,Back + Biceps,Glutes + Core
62,53,Lose,Core Focus,HIIT + Full Body,Cardio + Legs,Cardio + Core,Cardio Endurance,Core Focus,HIIT + Full Body
101,113,Gain,Legs,Full Body Strength,Full Body Strength,Shoulders + Abs,Shoulders + Abs,Glutes + Core,Glutes + Core
67,65,Lose,Cardio + Legs,Full Body HIIT,Cardio + Core,Cardio + Core,Cardio + Legs,Cardio + Core,Cardio Endurance
95,96,Gain,Chest + Biceps,Legs,Legs,Chest + Triceps,Chest + Triceps,Back + Biceps,Full Body Strength
106,117,Gain,Glutes + Core,Chest + Triceps,Chest + Biceps,Back + Biceps,Glutes + Core,Chest + Biceps,Glutes + Core
108,106,Lose,HIIT + Full Body,Cardio + Core,Cardio + Core,Cardio + Core,Full Body HIIT,Core Focus,Cardio + Abs
92,88,Lose,Full Body HIIT,Cardio Endurance,Cardio Endurance,Cardio Endurance,Cardio + Abs,Cardio Endurance,Cardio + Abs
53,44,Lose,Core Focus,Cardio Endurance,Core Focus,Cardio Endurance,Cardio + Abs,Cardio + Abs,Full Body HIIT
77,67,Lose,Cardio + Legs,HIIT + Full Body,Cardio Endurance,Core Focus,Cardio Endurance,HIIT + Full Body,Cardio + Legs
88,78,Lose,Cardio + Abs,Cardio + Core,Cardio + Abs,Cardio + Legs,Cardio Endurance,HIIT + Full Body,Cardio + Abs
72,82,Gain,Chest + Biceps,Chest + Biceps,Legs,Full Body Strength,Back + Biceps,Legs,Back + Biceps
84,89,Gain,Legs,Shoulders + Abs,Glutes + Core,Full Body Strength,Full Body Strength,Back + Biceps,Chest + Triceps
83,93,Gain,Chest + Biceps,Shoulders + Abs,Shoulders + Abs,Shoulders + Abs,Legs,Glutes + Core,Chest + Triceps
80,91,Gain,Chest + Triceps,Glutes + Core,Shoulders + Abs,Back + Biceps,Glutes + Core,Shoulders + Abs,Back + Biceps
59,44,Lose,Full Body HIIT,Full Body HIIT,Cardio + Core,Cardio Endurance,Cardio + Abs,Cardio + Core,HIIT + Full Body
82,91,Gain,Legs,Back + Biceps,Glutes + Core,Back + Biceps,Full Body Strength,Chest + Triceps,Legs
61,59,Lose,HIIT + Full Body,Core Focus,Cardio + Core,Cardio + Core,Cardio + Abs,Full Body HIIT,Full Body HIIT
82,86,Gain,Shoulders + Abs,Shoulders + Abs,Chest + Biceps,Shoulders + Abs,Shoulders + Abs,Chest + Biceps,Back + Biceps
115,109,Lose,Core Focus,Cardio + Core,Cardio + Abs,HIIT + Full Body,Cardio + Abs,Core Focus,HIIT + Full Body
107,118,Gain,Full Body Strength,Chest + Triceps,Glutes + Core,Shoulders + Abs,Back + Biceps,Legs,Shoulders + Abs
59,63,Gain,Chest + Biceps,Full Body Strength,Glutes + Core,Back + Biceps,Legs,Glutes + Core,Chest + Biceps
104,110,Gain,Full Body Strength,Chest + Biceps,Legs,Shoulders + Abs,Legs,Shoulders + Abs,Chest + Triceps
109,96,Lose,Full Body HIIT,Core Focus,Cardio + Abs,Full Body HIIT,Cardio + Legs,Cardio + Legs,Core Focus
54,44,Lose,Core Focus,Cardio + Core,Cardio + Abs,Full Body HIIT,Cardio + Core,Cardio + Core,Cardio + Abs
102,95,Lose,Cardio + Legs,Cardio + Legs,Cardio + Legs,HIIT + Full Body,Full Body HIIT,Cardio Endurance,Full Body HIIT
81,67,Lose,Cardio + Core,HIIT + Full Body,Core Focus,Cardio + Legs,Cardio + Core,Core Focus,HIIT + Full Body
60,54,Lose,Cardio + Legs,Cardio Endurance,Cardio + Legs,HIIT + Full Body,Cardio Endurance,Cardio Endurance,Cardio Endurance
82,79,Lose,Cardio + Legs,Core Focus,Cardio + Abs,Cardio Endurance,Full Body HIIT,Cardio + Legs,Cardio Endurance
70,72,Gain,Chest + Triceps,Back + Biceps,Chest + Triceps,Full Body Strength,Chest + Triceps,Chest + Triceps,Full Body Strength
99,87,Lose,Core Focus,Cardio + Core,Cardio + Core,HIIT + Full Body,Cardio + Abs,Cardio + Core,Cardio + Abs
111,115,Gain,Chest + Biceps,Glutes + Core,Back + Biceps,Back + Biceps,Legs,Chest + Biceps,Chest + Biceps
